extrarepaymentsallowed,allowssplitloan,hasoffsetaccount,hasredrawfacility,redrawactivationfee,hasfortnightlyrepayments,hasfulloffset,hasmonthlyrepayments,hasrepayholiday,hasweeklyrepayments,hasmortgageportability,hasprincipalandinterest,hasinterestonly,hasconstructionfacility,portabilitytransferfee,companyvariation,totalcost,costscore,boxcox,cost score2,output_dtr,total_score,alogarithm,manual,difference
1,1,0,1,0,1,0,1,0,1,1,1,1,0,300,"Greater Bank - Ultimate Fixed Home Loan 4 Years (New Customers) (NSW, ACT & QLD only)",73964.8014725575,4.597921611231861,437.49356873642796,1.7255923388459737,3.965625060223671,3.959512,4.0,4.0,0.0
1,1,0,1,0,1,0,1,0,1,1,1,1,0,300,"Greater Bank - Ultimate Fixed Home Loan 5 Years (New Customers) (NSW, ACT & QLD only)",73700.8444250973,4.6128497644126005,444.713573519751,1.6715544268273754,3.9991001673334012,3.994064,4.0,4.0,0.0
1,1,1,1,0,1,0,1,0,1,1,1,1,0,300,"Greater Bank - Ultimate Variable Home Loan (New Customers) (NSW, ACT & QLD only) ",71557.25055242587,4.73408122232,506.95635895299523,1.2057001422425264,4.416603979333368,4.474615,4.4,4.5,-0.09999999999999964
1,1,0,1,0,1,0,1,0,1,1,1,1,0,300,"Greater Bank - Great Rate Fixed Home Loan 1 Year (New Customers) (NSW, ACT & QLD only) ",73775.43911668424,4.608631044006404,442.6635795414683,1.6868975460581235,3.9793220693333358,3.984299,4.0,4.0,0.0
1,1,0,1,0,1,0,1,0,1,1,1,1,0,300,"Greater Bank - Great Rate Fixed Home Loan 3 Years (New Customers) (NSW, ACT & QLD only) ",71928.8536272413,4.713065122630089,495.69408176503856,1.2899923223831278,4.21433751133327,4.225981,4.2,4.2,0.0
1,1,0,1,0,1,0,1,0,1,1,1,1,0,300,"Greater Bank - Great Rate Variable Home Loan (New Customers) (NSW, ACT & QLD only)",69682.25055242587,4.84012229030136,566.9543302273499,0.7566471027616097,4.581027653666766,4.6200149999999995,4.6,4.6,0.0
1,1,0,1,0,1,0,1,1,1,1,1,0,0,300,"Greater Bank - Ultimate Fixed Investment Loan (Principal and Interest) 5 Years (NSW, ACT & QLD only)",81237.87872976,4.186591008637361,272.53151418813195,2.96024595163558,3.0555664562222287,3.067617,3.1,3.1,0.0
1,1,0,1,0,1,0,1,1,1,1,1,0,0,300,"Greater Bank - Ultimate Fixed Investment Loan (Principal and Interest) 3 Years (NSW, ACT & QLD only)",78205.3276331014,4.358097652369478,333.7981450125879,2.5016976673165607,3.4557834099555405,3.464517,3.5,3.5,0.0
1,1,0,1,0,1,0,1,1,1,1,1,0,0,300,"Greater Bank - Ultimate Fixed Investment Loan (Principal and Interest) 1 Year (NSW, ACT & QLD only)",77351.92550008344,4.406362011624303,352.89122272591516,2.3587960925114855,3.5666522223777313,3.5762089999999995,3.6,3.6,0.0
1,1,0,1,0,1,0,1,1,1,1,1,1,0,300,"Greater Bank - Ultimate Fixed Home Loan 4 Years (NSW, ACT & QLD only)",75393.08741581155,4.517144562268969,400.03706403580924,2.005934439201849,3.814529256114997,3.8325839999999998,3.8,3.8,0.0
1,1,0,1,0,1,0,1,1,1,1,1,1,0,300,"Greater Bank - Ultimate Fixed Home Loan 1 Year (NSW, ACT & QLD only)",74282.50210350052,4.579953976989968,428.9284316437869,1.7896978538046973,3.9503593297628496,3.977932,4.0,4.0,0.0
1,1,0,1,0,1,0,1,1,1,1,1,1,0,300,"Greater Bank - Ultimate Fixed Home Loan 3 Years (NSW, ACT & QLD only)",73972.11548377846,4.597507965599275,437.2948552983738,1.7270796036892444,4.00796330858043,4.01856,4.0,4.0,0.0
